id,name
1,brutal death metal with grindcore influences
2,fusion
3,synthpop
4,celtic rock
5,industrial alternative
6,operatic gothic metal
7,symphonic post-black metal
8,doom  metal
9,depressive black n roll
10,blackened atmospheric death metal
11,blackened epic heavy metal
12,avant-garde folk rock
13,blackened punk
14,epic heavy metal
15,brutal death metal with folk influences
16,thrash metal with ska influences
17,pagan folk metal
18,soundtrack
19,neoclassical darkwave
20,atmospheric stoner
21,thrash metal with death metal influences
22,hard rock with gothic influences
23,symphonic death metal
24,technical heavy metal
25,doom metal with middle eastern folk influences
26,progressive folk metal
27,technical progressive groove metal
28,atmospheric neoclassical metal
29,metal with electronic influences
30,gothic heavy metal
31,power metal with electronic elements
32,death metal with middle eastern influences
33,post-black metal with hardcore influences
34,atmospheric doom metal
35,epic heavy metal with progressive elements
36,experimental psychedelic doom
37,experimental post-metal
38,melodic death metal with hardcore influences
39,doom metal with thrash
40,industrial blackened gothic metal
41,rock with thrash elements
42,crust n roll
43,progressive neoclassical metal
44,horror punk
45,progressive metal with death metal influences
46,melodic thrash metal with alternative influences
47,groove metal with hardcore influences
48,chillwave
49,epic pagan black metal
50,progressive metal with black
51,thrash metal with alternative rock influences
52,symphonic epic gothic
53,ambient progressive stoner
54,groove metal with funk elements
55,symphonic metalcore
56,progressive deathcore
57,funk rock
58,power  metal
59,melodic heavy metal with folk elements
60,death industrial
61,folk rock
62,nwobhm
63,blackened heavy metal
64,atmospheric heavy metal with hard rock influences
65,noisegrind
66,grindcore with classical influences
67,medieval gothic rock
68,progressive post-rock
69,grind n roll
70,crossover with heavy metal influences
71,progressive metalcore
72,brutal blackened death metal
73,progressive symphonic rock
74,hardcore with grindcore influences
75,raw depressive black metal
76,thrash metal with rac influences
77,experimental brutal death metal
78,metalcore with thrash metal elements
79,heavy metal with progressive influences
80,post-punk with depressive black metal elements
81,melodic progressive heavy metal
82,alternative hard rock
83,death metal with prehispanic folk influences
84,industrial metal
85,southern groove
86,melodic folk black metal
87,melodic gothic metal
88,operatic symphonic metal
89,grindcore with black metal elements
90,blackened funeral doom metal
91,pop rock
92,metal with folk influences
93,hard rock with thrash influences
94,experimental folk metal
95,experimental noise
96,sludge metal with death metal influences
97,atmospheric sludge metal
98,stoner metal with folk influences
99,thrash metal with stoner influences
100,progressive metal with folk
101,thrash metal with death and hardcore influences
102,thrash metal with hardcore
103,experimental power metal
104,death metal with heavy rock influences
105,melodic epic black metal
106,melodic death metal with rock influences
107,symphonic melodic power metal
108,black metal with death and thrash influences
109,black metal with industrial influences
110,blackened technical deathcore
111,operatic progressive
112,progressive death metal with hardcore elements
113,groove metal with blues influences
114,progressive metal with middle eastern folk influences
115,progressive groove metal
116,black metal with medieval influences
117,thrash metal with progressive metal elements
118,indie rock
119,thrash metal with latin jazz influences
120,melodic crossover
121,hardcore with middle eastern influences
