id,name
1,heavy metal with power and speed influences
2,progressive sludge metal with post-rock influences
3,blackened symphonic metalcore
4,nu-metal with funk influences
5,doom rock
6,brutal blackened death metal
7,crossver
8,technical black metal
9,death metal with deathcore influences
10,technical blackened death metal
11,hardcore with death metal elements
12,groove metal with industrial influences
13,symphonic hard rock
14,black metal with punk influences
15,blackened brutal death metal
16,atmospheric power metal
17,shoegaze
18,technical progressive death metal
19,nu-metal with folk influences
20,dance pop
21,avant-garde rock
22,stoner metal with hardcore influences
23,blackened groove metal
24,experimental symphonic black metal
25,blackened crossover
26,blackened ebm
27,hardcore with nu-metal elements
28,atmsospheric black metal
29,groove metal with hardcore elements
30,crustcore
31,electronic rock
32,psychedelic progressive metal
33,electronic progressive metalcore
34,progressive black metal with industrial
35,technical experimental metal
36,power metal
37,experimental rock
38,death metal with hardcore punk influences
39,doom metal with hardcore influences
40,black metal with punk elements
41,powerviolence
42,thrash metal with funk influences
43,melodic blackened death metal
44,atmospheric industrial
45,experimental noise
46,trap
47,death metal with speed
48,symphonic depressive black metal
49,electronic goregrind
50,heavy metal with doom metal
51,avant-garde stoner
52,atomspheric funeral doom metal
53,heavy metal with hardcore punk
54,atmospheric folk metal
55,ambient with metal influences
56,sludge metal with post-hardcore influences
57,thrash metal with groove
58,melodic grindcore
59,blackened symphonic heavy metal
60,melodic black metal with punk influences
61,punk rock with heavy metal influences
62,progressive blackened death metal
63,doom metal with thrash elements
64,progressive metal with thrash elements
65,melodic rock
66,grindcore with electronic influences
67,atmospheric ambient doom metal
68,melodic post-black metal
69,heavy metal with deathcore influences
70,extreme metal
71,groove metal with alternative
72,industrial blackened gothic metal
73,power metal with viking influences
74,dark ritual ambient
75,epic atmospheric black metal
76,heavy metal with death metal elements
77,folk power metal
78,progressive metal with black and doom influences
79,death metal with black
80,psychedelic groove metal
81,black metal
82,groove metal with thrash metal elements
83,blackened atmospheric death metal
84,epic crust
85,progressive gothic rock
86,symphonic electronic metal
87,industrial melodic death metal
88,raw atmospheric black metal
89,technical progressive black metal
90,operatic heavy metal
91,speed metal with doom influences
92,folk metal with punk influences
93,viking metal with black
94,groove metal with grindcore influences
95,progressive neoclassical gothic metal
96,heavy metal with psychedelic influences
97,drone ambient
98,harsh noise
99,acoustic
100,atmospheric blackened doom metal
101,avant-garde pagan metal
102,melodic death metal with middle eastern influences
103,gothic metal with progressive elements
104,doom metal with gothic influences
105,melodic technical deathcore
106,experimental southern
107,atmospheric progressive rock
108,power metal with folk elements
109,technical death metal with groove influences
110,melodic death metal with hardcore influences
111,j-rock
112,melodic heavy metal with progressive rock elements
113,heavy metal with alternative influences
114,heavy metal with stoner rock influences
115,symphonic black metal with folk influences
116,blackened post-metal
117,black metal influences
118,brutal technical death metal
119,technical melodic death metal
120,progressive gothic metal
121,experimental funk
122,brutal death metal with deathcore elements
123,nu-metal
124,doom metal with grindcore influences
125,death metal with punk elements
126,atmospheric doom metal
127,heavy metal with black metal influences
128,industrial sludge metal
129,death metal with progressive and thrash elements
130,ambient black metal with industrial influences
131,symphonic post-black metal
132,gothic metal with rock influences
133,folk doom
134,epic death metal
135,doom metal with progressive influences
136,power metal with gothic and doom influences
137,noise rock
138,brutal deathcore
139,power metal with eastern folk influences
140,atmospheric funeral doom metal
141,death metal with metalcore influences
142,thrash metal with doom and alternative rock influences
143,heavy metal with post-punk influences
144,folk death metal
145,black metal with medieval influences
146,heavy metal with thrash
147,melodic death metal with symphonic influences
148,doom metal elements
149,experimental psychedelic black metal
150,orchestral pop
151,hard rock with thrash metal influences
152,post-metal
153,extreme progressive metal
154,epic symphonic metal
155,progressive psychedelic doom
156,pagan black metal
157,metalcore with gothic metal influences
158,experimental industrial black metal
159,ambient folk
160,melodic crust punk
161,stoner metal with celtic folk elements
162,groove metal influences
163,melodic doom metal
164,atmospheric melodic doom
165,symphonic viking
166,atmospheric black metal with folk influences
167,blackened death metal
168,blackened melodic thrash metal
169,gothic metal with folk influences
170,atmospheric pagan metal
171,synthwave elements
172,psychedelic experimental metal
173,thrash metal with death influences
174,experimental ambient black metal
175,industrial drone doom metal
176,blackened melodic death metal
177,grindcore with heavy metal influences
178,experimental power metal
179,industrial gothic rock
180,power metal with hardcore elements
181,black metal with doom influences
182,death metal with hardcore
183,melodic death metal with rock elements
184,punk with grindcore influences
185,death metal with crossover influences
186,electronic metal
187,metalcore with death metal influences
188,metalcore
189,symphonic industrial metal
190,metalcore with death metal
191,melodic power metal
192,symphonic doom metal
193,melodic folk black metal
194,death metal with grindcore influences
195,neoclassical speed metal
196,sludge metal with progressive metal influences
197,melodic death metal with folk metal influences
198,blackened grindcore
199,epic symphonic black metal
200,industrial metal
201,black metal with industrial elements
202,experimental technical melodic death metal
203,symphonic death metal
204,death metal with classical influences
205,progressive neoclassical metal
206,melodic death metal with hardcore elements
207,melodic death metal with progressive thrash metal influences
208,technical extreme metal
209,phonk
210,black metal with post-punk
211,neofolk with progressive black metal influences
212,gothic metal with doom elements
213,raw experimental
214,pagan thrash
215,nwobhm
216,melodic thrash metal with death
217,melodic death metal with electronic
218,avant-garde thrash metal
219,symphonic neoclassical metal
220,electronic thrash
221,doom metal with punk and black metal elements
222,thrash metal with punk influences
223,progressive metal with doom influences
224,melodic heavy metal with death metal
225,brutal death metal with hardcore influences
226,atmospheric progressive black metal
227,thrash metal with groove influences
228,technical avant-garde metal
229,doom metal with crust influences
230,speed metal with progressive elements
231,melodic death metal with folk influences
232,progressive metal with electronic elements
233,raw pagan metal
234,rock with thrash elements
235,experimental heavy metal
236,progressive melodic death metal
237,thrash metal with latin influences
238,melodic death metal with hard rock influences
239,melodic death metal with rock influences
240,progressive blackened doom metal
241,raw doom
242,melodic death metal with thrash
243,neoclassical ambient
244,heavy metal with middle eastern influences
